[2026-09-25T16:50:59.671Z] !! poll start: /home/sahur/orca/workspaces/RouteLoom/hil-bench/host/target/debug/routeloomctl --socket /tmp/routeloom-hil-2026-09-26.sock deliveries every 0.5s
[2026-09-25T16:51:15.678Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:16.178Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:16.678Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:17.178Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:17.678Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:18.178Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:18.678Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:19.179Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:19.679Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:20.179Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:20.680Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:21.180Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:21.680Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:22.180Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:22.680Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:23.180Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:23.681Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:24.181Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:24.681Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:25.181Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:25.681Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:26.182Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:26.682Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:27.182Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:27.682Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:28.182Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:28.683Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:29.183Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:29.683Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:30.183Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:30.684Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:31.183Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:31.684Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:32.184Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:32.684Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:33.184Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:33.684Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:34.184Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:34.685Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:35.185Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:35.686Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:36.185Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:36.686Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:37.186Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:37.686Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:38.186Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:38.686Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:39.187Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
